Movie Name,Genre,Description,Crew,Keywords
Roar,"Action, Adventure, Sci-Fi","Alka Singh, the leader of a political party, and her obsessive love for Rohan Mehra, a rising star of Bollywood.",,
City Lights,"Drama, Thriller","After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans, Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death.",,
Youngistaan,"Drama, Romance","Deepak Singh is a farmer in Rajasthan. After a tragedy, he migrates to Mumbai with his wife and child to lead a better life. However, upon arriving, he soon discovers the challenges of life in a big city.",,
Filmistaan,Comedy,"Follow the highs and lows in the life of Abhimanyu who is forced to join Indian politics after his father, the Prime Minister of India, suddenly passes away.",,
Ugly,"Crime, Drama, Mystery","In Mumbai, affable Bollywood buff and wanna-be-actor Sunny, who works as an assistant director, fantasizes on becoming a heart-throb star. However, at every audition he is summarily thrown ...                See full summary��",,
Total Siyapaa,"Comedy, Drama, Romance",The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,,
Dishkiyaoon,"Action, Thriller","A young musician hopes to marry his beautiful Indian girlfriend, but his plans hit a snag when her family learns he's Pakistani.",,
Darr @ the Mall,"Horror, Thriller","Vicky wanted to be the godfather of the Mumbai underworld. He gains everything and also loses everything. He gains respect, power, and leadership, but he loses love and friendship.",,
Rang Rasiya,"Biography, Drama, Romance","During the inaugural party of one of the largest malls in Asia, a newly recruited security guard must work to stop a supernatural threat.",,
Amit Sahni Ki List,"Comedy, Romance",A look into the life of 19th century Indian painter Raja Ravi Varma.,,
"Pizza
(I)",Horror,"Amit sahani is an investment banker, single and ready to mingle. Mala is a free spirit who takes life as it comes. When Amit meets Mala sparks fly even though Mala is against all odds not ...                See full summary��",,
Kaanchi,"Drama, Musical, Romance",A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?,,
O Teri,"Comedy, Drama",The inner power of a woman who represents over one million suppressed youth against injustice in the country.,,
Mr Joe B. Carvalho,"Action, Comedy, Mystery","Prantabh and Anand, associated with a news channel in Delhi, are in search of a big scam to prove a point to their senior. A dead body accidentally lands up in their car.",,
Desi Kattey,Action,A small time detective is hired to bring back the daughter of a businessman who has run away from home with the house chef.,,
One by Two,"Comedy, Drama, Romance",A sharpshooting thug becomes a competitive shooter while his childhood friend remains in the life of crime.,,
Super Nani,"Comedy, Drama, Family",Aspiring musician Amit and dance fanatic Samara get a better insight of what life has in store for them.,,
Lekar Hum Deewana Dil,"Comedy, Romance","The movie revolves around how an Indian woman, Bharti, who sacrifices her life for her children and husband, and yet they do not value her or her sacrifices, and they all maltreat her. Then...                See full summary��",,
Koyelaanchal,"Action, Drama",2010-2019 Bollywood Movies,,
Kuku Mathur Ki Jhand Ho Gayi,"Comedy, Romance",Koyelaanchal (coal belt of India) brings to light the explosive story of the people who have kept our precious fuel station at ransom for centuries. Koyelaanchal unveils itself through ...                See full summary��,,
3 AM: A Paranormal Experience,"Horror, Romance","When Kuku's friend is unable to give him enough time, he uses improper ways to get him back.",,
Mumbai 125 KM 3D,"Drama, Horror, Mystery",The story of the movie revolves around three friends who are going to make a reality show on the existence of ghosts in the world.,,
Tamanchey: Pyar Mein Dil Pe Maar De Goli,"Crime, Romance","On their way to a New Year's Eve party in Mumbai, a group of five friends encounter supernatural occurrences on a highway, 125 kilometres outside the city.",,
Samrat & Co.,"Mystery, Thriller","An aggressive, passionate acidic love story between two criminals whilst on the run from the law.",,
Karle Pyaar Karle,"Action, Romance",A small town tycoon gets murdered. The daughter hires a private investigator to catch the real culprit.,,
Manjunath,"Biography, Drama","Karle Pyaar Karle is an adrenaline gushing, action packed, edgy love story of two rebels, Kabir & Preet, playing the game of life.",,
Badlapur Boys,Drama,"'Manjunath' is a warm inspirational film based on the true story of Manjunath Shanmugam, a sales officer from a petroleum company who was killed by the oil mafia in 2005 for his stand against fuel adulteration.",,
Ankhon Dekhi,"Comedy, Drama","A story about a bunch of underdogs who not only play Kabaddi passionately, but also get involved in crucial socio-economic issues.",,
6-5=2,Horror,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",,
Kya Dilli Kya Lahore,"Drama, History, War","Six friends decide to undertake a gruelling mountain trek, only to find that the difficulties in store for them are not merely physical. They experience strange and unusual incidents which put their lives at risk.",,
Miss Lovely,"Crime, Drama, Romance","In 1948, a cross-fire erupts at an isolated stretch of Indo-Pak border, leaving only two soldiers alive. One is an Indian soldier of Pakistani origin while the other happens to be a ...                See full summary��",,
Main Aur Mr. Riight,"Comedy, Romance","A Hindi feature film set in the lower depths of Bombay's ""C"" grade film industry. Miss Lovely follows the devastating story of two brothers who produce sleazy horror films in the mid-1980s.",,
Babloo Happy Hai,"Comedy, Drama, Romance","A light hearted take on love, relationships and singlehood.",,
Lucky Kabootar,Comedy,"Jatin, Harry and Rohan head to Manali for one last trip before Jatin gets married. In Manali, the group of friends meet Natasha and are set forward on a journey of rediscovery.",,
M.A.D: Mad About Dance,"Drama, Music",Lucky (Eijaz Khan) loves 'modern' Kammo (Shradha Das) but ends up marrying the girl-next-door Lakshmi (Kulraj Randhawa). An accident leads him to believe that his wife is dead. Instead of ...                See full summary��,,
Jigariyaa,Drama,Mad About Dance is an 2014 Indian dance film. The film is directed by Saahil Prem.,,
Mumbai Delhi Mumbai,"Comedy, Romance","Shaamu falls in love with Raadha at first sight. As they grow close to each other, destiny takes another turn.",,
Purani Jeans,"Drama, Romance","In Delhi for the first time, a Mumbai girl loses her phone but gets a surprise chance at true love with a local boy who begrudgingly helps her.",,
Sonali Cable,"Comedy, Drama","Sidharth, his best friend Sam and their gang of friends rediscover bonds of friendship and love.",,
Dhoom:3,"Action, Crime, Drama","Sonali, a spunky self-made internet operator, proudly runs a small outfit along with her band of ghetto boys catering to a sprawling Mumbai suburb. Complications arise when Sonali's ...                See full summary��",,
Krrish 3,"Action, Adventure, Sci-Fi","Jai and Ali return to catch the clown thief, Sahir, who has targeted various branches of the Western Bank of Chicago.",,
Chennai Express,"Action, Comedy, Drama","Krrish and his scientist father must save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.",,
Yeh Jawaani Hai Deewani,"Comedy, Drama, Musical",A man travelling to Rameswaram via Chennai express for his late grandfather's ashes immersion finds himself in trouble after helping a don's daughter and her cousins board the train.,,
Goliyon Ki Raasleela Ram-leela,"Drama, Musical, Romance","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",,
Bhaag Milkha Bhaag,"Biography, Drama, Sport","Modern adaptation of William Shakespeare's 'Romeo and Juliet' with an Indian twist, the film focuses on the story of Ram and Leela, their love, lust and the drama afterwards.",,
Grand Masti,"Comedy, Drama, Thriller","The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",,
Race 2,"Action, Crime, Thriller","Meet, Prem, and Amar look to have a blast at their college reunion, though they soon find themselves in another predicament.",,
Aashiqui 2,"Drama, Music, Musical",Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,,
Special Chabbis,"Crime, Drama, Thriller",Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.,,
R... Rajkumar,"Action, Comedy, Crime",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,,
Satyagraha,Drama,"An aimless ruffian starts working for a drug baron and his mission is to kill the rival, whose niece he eventually falls for.",,
Once Upon a Time in Mumbai Dobaara!,"Action, Crime, Drama",A corporate go-getter sees his priorities shift when a personal tragedy brings him face-to-face with political corruption.,,
Raanjhanaa,"Drama, Romance","After killing his mentor, a gangster comes into power to rule over Mumbai. In the process he falls for an aspiring actress, nevertheless he finds that his protege has fallen for her too which leads to enmity between them.",,
Shootout at Wadala,"Action, Biography, Crime","Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",,
Besharam,"Action, Comedy, Romance","Based on the true story of the first-ever registered encounter by the Mumbai Police, which took place on November 1, 1982.",,
"Boss
(I)","Action, Comedy, Crime",A car thief falls in love with a woman whose car he has stolen.,,
Kai po che!,"Drama, Sport","After his younger son falls prey to a corrupt police officer, an honest old man summons his estranged elder son to save the day.",,
Himmatwala,"Action, Comedy, Drama",Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,,
Shuddh Desi Romance,"Comedy, Drama, Romance","When a temple priest commits suicide after being dishonored by an evil landlord, his son returns to his native village on a mission of vengeance.",,
ABCD (Any Body Can Dance),"Drama, Music",A romantic comedy which tells the journey of three restless young people who junk society's syllabus for finding love and decide to follow their heart.,,
Madras Cafe,"Action, Drama, Thriller","When a capable dancer is provoked by the evil design of his employer, naturally he will be out to prove his mettle.",,
Chashme Baddoor,"Comedy, Drama",An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,,
Matru Ki Bijlee Ka Mandola,"Comedy, Drama","When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",,
Yamla Pagla Deewana 2,"Action, Comedy","Harry is an industrialist who loves his daughter Bijlee, and the bond they share with Harry's man friday, Matru. Bijlee's plan to wed the son of a politician, however, brings twists and turns in the lives of Matru, Bijlee and Mandola.",,
Phata Poster Nikhla Hero,"Action, Comedy, Crime","The trio reunites in the UK and they fall in love, become involved with a nightclub, and have to face up to the challenge of a local don.",,
Fukrey,"Comedy, Drama, Romance",Vishwas Rao is raised by his mother who wants him to become a police officer while he wants to become an actor.,,
Ramaiya Vastavaiya,"Action, Drama, Romance","The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.",,
Bullett Raja,"Action, Crime, Drama","Ram falls in love with Sona, who lives on the fields of Punjab. He follows her to her farm, where her elder brother challenges him to produce more seed on their fields. If he wins, he will be allowed to marry her.",,
Ghanchakkar,"Comedy, Crime, Thriller","A common man who transforms into a gangster revolts against the very system he once obediently followed by declaring war on the police, the government, and the industrialists.",,
Jolly LLB,"Comedy, Crime, Drama",A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,,
"Lootera
(I)","Drama, Romance","Wanting to earn fame and fortune, a small time lawyer files a PIL for an infamous hit-and-run, and thus learns what it really is like to be a lawyer.",,
Singh Saab the Great,"Action, Drama","An aristocrat's daughter falls in love with a visiting archaeologist, but he holds a secret that could drive them apart.",,
Ek Thi Daayan,"Horror, Romance, Thriller",A tax collector willing to reform the society with the thought of change instead of revenge tries to control himself while attempting to teach a lesson to the man responsible behind his wife's death.,,
Go Goa Gone,"Action, Adventure, Comedy","When gifted magician Bobo finds himself assailed by hallucinations and seeks professional help, he learns he's being haunted by a sinister spirit.",,
"D-Day
(I)","Action, Thriller","A group of friends, just looking to have a good time in a rave party on a remote island in Goa, find out that the island is infested with Zombies.",,
Aurangzeb,"Action, Drama, Thriller",A team of experts dispatched to bring in The Most Wanted Man in India almost achieve the unthinkable ... until something goes horribly wrong.,,
Saheb Biwi Aur Gangster Returns,"Action, Crime, Drama","Kingship knows no Kinship and there can be only one Emperor in Aurangzeb's world. In Gurgaon, to bring down a criminal the law has to think like one.",,
Nautanki Saala!,"Comedy, Drama, Romance","Saheb, his wife, and a gangster who returns to take revenge.",,
Commando,"Action, Adventure, Thriller","Ram, a successful theatre artist, saves Mandar from committing suicide. He then ends up developing a special bond with Mandar and even helps solve his problems.",,
The Lunchbox,"Drama, Romance","Karan, a disavowed Indian commando, helps protect a woman from a local thug who is hellbent on forcing her to marry him.",,
Policegiri,"Action, Comedy, Crime",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,,
Gori Tere Pyaar Mein!,"Comedy, Drama, Romance",DCP Rudra faces a bunch of challenges after he locks horns with a notorious criminal Nagori Subramanium.,,
Zila Ghaziabad,"Action, Crime, Drama",Self-centered Sriram Venkat changes his outlook and actions when his girlfriend leaves him.,,
Zanjeer,"Action, Crime, Drama","In the city of Ghaziabad, gang war breaks between two rival groups led by Satbir Singh and Fauji. Thakur Pritam Singh, a corrupt police officer, is transferred to the city to handle the situation.",,
The Attacks of 26/11,"Action, Crime, Drama",ACP Vijay Khanna is transferred to Mumbai where he will have do deal with the oil mafia led by Rudra Pratap Teja.,,
Mere Dad Ki Maruti,"Comedy, Drama, Romance","The real story of ten terrorists, who sail to Mumbai and wage war on the populace for the next 72 hours.",,
Table No.21,"Adventure, Drama, Thriller","In the midst of a loud Punjabi wedding, a boy sneaks his dad's fancy new car to impress the college hottie and all hell breaks loose when he loses it.",,
Murder 3,"Drama, Mystery, Thriller",A couple is drawn into a game show with a whooping winning prize. However the game turns into more than a survival for them with no escape.,,
Inkaar,"Drama, Romance, Thriller","After a breakup, Vikram dates Nisha, who moves into his mansion. Nisha notices strange activities, suspects haunting. Vikram's ex Roshini goes missing. Nisha and Vikram's life unravels as he's blamed.",,
"I, Me Aur Main","Comedy, Drama, Musical","At a leading ad agency, the battle for the top job between Rahul Verma, the advertising CEO, and Maya Luthra, his ambitious prot�g�e, takes an ugly turn when Maya files a sexual harassment complaint against Rahul.",,
Bombay Talkies,Drama,"As Ishaan, a music producer who has commitment issues with the women in his life, feels a connection with Gauri, his next-door neighbor, he begins to learn the importance of relationships.",,
B.A. Pass,"Crime, Drama, Thriller",One hundred years of Hindi cinema is celebrated in four short stories showcasing the power of film.,,
Mickey Virus,"Comedy, Thriller",A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).,,
War Chhod Na Yaar,"Comedy, War",When Delhi Police comes across an unusual case revolving around hacking they seek help of an expert who thinks like them only to come across a lazy hacker Mickey Arora.,,
Bajatey Raho,"Comedy, Drama, Thriller","It is M*A*S*H comes to India and meets bollywood. A situational/satirical comedy, full of funny dialogues and tries to show a new side of war. Starring Javed Jafferi and Sharman Joshi in ...                See full summary��",,
Rangrezz,"Action, Comedy, Drama",Surviving family members and friends of a man who was conned by the cunning businessman Sabbarwahl string together a series of their own cons in an attempt to bring him down.,,
3G: A Killer Connection,"Horror, Mystery, Sci-Fi","Three friends who come together to help a fourth friend elope with his lover, come together once again to teach the couple a lesson, when they part away.",,
"Jackpot
(II)","Comedy, Thriller",Sam purchase's a second hand cellphone and starts getting mysterious calls.,,
"Horror Story
(I)",Horror,There are places in Goa where the rich can easily be fooled out of their money. A group of swindlers take advantage of this and risk everything just to get caught in a web of their own making.,,
Gippi,"Comedy, Drama","Seven youngsters decide to spend a night in an abandoned haunted hotel. What they mistook as merely rumors, dawns on them to be the truth as they realize they are not alone inside.",,
Issaq,"Drama, Romance","A painfully awkward, overweight teenager reclaims her right to happiness and self-worth by running against a pretty, popular queen bee in the school election.",,
Jayantabhai Ki Luv Story,"Action, Comedy, Romance","A contemporary adaptation of Romeo and Juliet set in the backdrop of Varanasi in the UP heartland, complete with naxalism, sand mining mafia and of course the timeless love story.",,
Nasha,"Drama, Thriller","Jayantabhai is a street-thug and small time gangster, who unexpectedly falls in love with his enemy, who is Simrin. A romantic caper about how people unknowingly fall in love with people they least expect to.",,
"David
(I)","Action, Crime, Drama","A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",,
"Warning
(I)","Adventure, Thriller",The lives of three different men named David are about to change forever.,,
Shahid,"Biography, Drama",Seven school friends reunite in Fiji after many years on a yacht retreat. Their adventure takes a shift when they go into sea.,,
Luv U Soniyo,"Comedy, Romance","The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",,
Akaash Vani,"Drama, Romance","Mark & Soniyo, after having been brought together by fate, have to win over their parents consent.",,
Satya 2,"Action, Crime, Drama",Follows the love story of a boy and a girl.,,
Ishkq in Paris,"Comedy, Romance","To build a strong underworld, a man comes to Mumbai to rectify the errors made by previous mafia leaders.",,
John Day,"Action, Crime, Drama","Akash (Rhehan Malliek) and Ishkq (Preity Zinta), two complete strangers, after having met on a train from Rome to Paris, end up spending the evening together in the romantic city.However, ...                See full summary��",,
"Sixteen
(II)","Drama, Romance, Thriller","A bank manager and his wife, still grieving over their daughter who died in a fire, become pawns in a bank heist with ties to corruption and fraud.",,
Super Model,"Drama, Mystery, Romance","Welcome to sixteen's world. A world where growing up has speeded up multifold times. Once upon a time, it was the age of innocence, the age of sweetness, the age when one had the first ...                See full summary��",,
Rabba Main Kya Karoon,"Comedy, Romance",A wine baron (Harsh Chhaya) wants to use a supermodel to launch his new liquor label in the market. He recruits a photographer (Ashmit Patel) to organize a talent hunt in Fiji for the same....                See full summary��,,
Ankur Arora Murder Case,"Drama, Thriller","Rabba Main Kya Karoon is a roller coaster ride, which centres around a big - lavish Delhi wedding.",,
Ship of Theseus,Drama,"A highly reputed doctor makes a small mistake, which costs the life of a kid Ankur Arora. Will he succeed in hiding his mistake or will the mother of the kid get Justice.",,
I Don't Luv U,Romance,"The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker.",,
Zindagi 50 50,"Comedy, Drama","'I Don't Luv U' focuses on the youth of today - the fun loving and frivolous lot, who are extremely casual in their relationships and do not want to delve into the intricacies of true love,...                See full summary��",,
Rajdhani Express,"Action, Drama, Thriller",2010-2019 Bollywood Movies,,
Ishk Actually,Romance,An unsafe journey by a common man.,,
Rise of the Zombie,"Drama, Horror, Thriller","Gia is at a crossroads in her life, with the arrows pointing towards Neil in one direction and Kabir in the opposite direction. She grapples with making a decision as she's torn between the...                See full summary��",,
Main Krishna Hoon,"Animation, Family, Musical","A heartbroken wildlife photographer throws himself into his work, only to find himself experiencing strange transformations.",,
Aatma,"Drama, Horror, Thriller","In answer to an orphan boy's prayers, the divine Lord Krishna comes to Earth, befriends the boy, and helps him find a loving family.",,
Halkaa,"Drama, Family",A single mother fights against the supernatural in order to hold on to her daughter.,,
Ek Tha Tiger,"Action, Adventure, Romance","Halkaa (Relief) is a unique take on a slum child's heroism, aspirations and dreams. The child protagonist, Pichku fights for the basic problem that he faces everyday; defecating in the open among others.",,
Dabangg 2,"Action, Comedy, Crime",India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,,
Rowdy Rathore,"Action, Comedy, Crime",Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.,,
Jab Tak Hai Jaan,"Drama, Romance","A con man uncovers a deadly secret and must save his lady love, the small-town locals and the little girl who insists she's his daughter, from the mob.",,
Agneepath,"Action, Crime, Drama",An uncompromising film on true love from the legendary and unforgettable director Yash Chopra which is fascinatingly distinctive and contemporary.,,
Barfi!,"Comedy, Drama, Romance",A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,,
Housefull 2,"Action, Comedy, Drama",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,,
Son of Sardaar,"Action, Comedy, Romance",A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,,
Bol Bachchan,"Action, Comedy","A guest tries to stay inside the house of a vengeful man who can't kill him unless he's outside, because of equating guest with God.",,
Talaash,"Crime, Drama, Mystery","All hell breaks loose when a Muslim man breaks a temple lock to save a little child, thus for his safety keeps a Hindu name, where he starts making web of lies.",,
OMG: Oh My God!,"Comedy, Drama, Fantasy","Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",,
Cocktail,"Comedy, Drama, Romance",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,,
Raaz 3: The Third Dimension,"Horror, Romance, Thriller","A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.",,
Khiladi 786,"Action, Comedy, Romance","When an ing�nue's sudden popularity threatens to shove her out of the spotlight, a movie star uses black magic in an attempt to derail her career.",,
Student of the Year,"Comedy, Drama, Music","A father who runs a marriage bureau believes that his son is a failure in life. In order to prove him wrong, his son takes on the task of finding a match for a gangster's sister.",,
Kahaani,"Mystery, Thriller",Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.,,
Ishaqzaade,"Action, Drama, Romance","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",,
Kyaa Super Kool Hain Hum,Comedy,A love story of a passion ignited by hatred. Of two people. Born to hate. Destined to love.,,
Heroine,Drama,Adi and Sid want to make big but always run out of luck and series of confusion start taking place when they reach Goa.,,
Agent Vinod,"Action, Adventure, Thriller",A female superstar struggles through the trials and tribulations of being a Bollywood actress.,,
Jannat 2,"Crime, Drama, Thriller",A series of seemingly unconnected events across the world leads to Agent Vinod undertaking a globe-trotting mission to discover why his colleague was murdered.,,
Ek Main Aur Ekk Tu,"Comedy, Drama, Romance",A dealer of illegal guns is bullied into being an informer for a cop who wants to put an end to this racket.,,
Vicky Donor,"Comedy, Romance",A few drinks too many leads an uptight architect and quick-witted hairstylist to marry in Las Vegas. Can a mistake lead to friendship and love?,,
English Vinglish,"Comedy, Drama, Family","A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",,
Jism 2,"Drama, Romance, Thriller","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",,
Players,"Action, Crime, Thriller","Izna, a porn star, is tasked by an Indian Intelligence Agency to seduce her ex-boyfriend Kabir, a dreaded assassin, in order to steal vital information relating to his sleeper cell contacts.",,
Ferrari Ki Sawaari,"Comedy, Drama, Family","Learning of a fortune in gold being secretly shipped to Romania, master thieves Charlie and Riya assemble a crack team to steal it.",,
Teri Meri Kahaani,"Comedy, Drama, Romance",How the pursuit of an Indian cricket legend's Ferrari makes a young boy's dreams of playing cricket at Lords a reality.,,
Gangs of Wasseypur,"Action, Comedy, Crime","The true love between a couple in 1910, 1960 and 2012. Their love is so strong that even destiny wants to bring them together.",,
1920: Evil Returns,"Drama, Horror, Romance","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",,
Joker,"Comedy, Family, Sci-Fi","A famous poet, Jaidev, meets a woman who has lost her memories. He brings her to his house and tries to help her, but things take an ugly turn when she gets possessed by an evil spirit.",,
Tere Naal Love Ho Gaya,"Comedy, Drama, Romance","A space scientist working on a project to communicate with aliens visits a village called Paglapur. To improve the plight of the inhabitants of Paglapur, he comes up with a novel idea.",,
Shanghai,"Crime, Drama, Mystery","Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father.",,
Chakravyuh,"Action, Drama, Thriller",Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.,,
Tezz,"Action, Crime, Drama","On the request of his friend Kabir, SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.",,
Hate Story,"Drama, Thriller","To avenge his past, Aakash Rana plants a bomb in a train endangering the lives of 500 passengers.",,
Paan Singh Tomar,"Action, Biography, Crime","After a powerful businessman has her baby forcefully aborted, Kaavya Krishna uses her body as a sexual weapon to destroy his empire, brick by brick.",,
Department,"Action, Crime, Thriller","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",,
Shirin Farhad Ki Toh Nikal Padi,Romance,A suspended cop joins hands with inspector Mahadev Bhonsle to free the city from underworld.,,
Jodi Breakers,"Comedy, Musical, Romance",Farhad Pastakia (Boman Irani) has a dream job as a bra-and-panty salesman. Except that he is a 45-year old Parsi bachelor still living with his overbearing mother and grandmother. But it's ...                See full summary��,,
"Blood Money
(II)","Action, Crime, Drama",A man (R. Madhavan) who helps wronged parties get out of bad relationships meets his match when he takes on a business partner (Bipasha Basu).,,
Luv Shuv Tey Chicken Khurana,Comedy,"A young man elopes with the girl he loves and moves to South Africa, where he works in the diamond-exporting business. Slowly, he is pulled into the underworld.",,
Aiyyaa,"Comedy, Romance",A fugitive frantically looks for a much-coveted chicken curry recipe with which his family can reclaim their pride and wealth.,,
London Paris New York,Romance,"A woman goes on the hunt for her dream man, armed with her wild imagination, her passion for Masala-films, and her ultra-sensitive sense of smell.",,
Dangerous Ishhq,"Fantasy, Mystery, Romance","Nikhil and Lalitha are two completely different individuals who are drawn to each other in spite of their differences -- or perhaps because of it. Follow their journey as they meet in London, Paris and New York for a night in each city.",,
Chaar Din Ki Chandni,"Comedy, Romance",Three doppelgangers(one girl+ two boys).Two of them loves each other and get together from many lives .And the third one(who can't be killed easily)also wants the girl and he tries to separate them through many lives.,,
Ekk Deewana Tha,"Drama, Romance","Chandini comes to India to attend Veer's sisters wedding. In those four days, she wins everyone's heart.",,
Bhoot Returns,"Horror, Mystery, Thriller",An aspiring filmmaker from Mumbai falls in love with a woman from a strict orthodox Christian family.,,
Gali Gali Chor Hai,"Comedy, Drama","A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen, escape seems to be their last resort.",,
Kismet Love Paisa Dilli,"Adventure, Comedy, Crime",A common man is financially taken advantage of by corrupt government officials in this political satire.,,
Chaalis Chauraasi,"Comedy, Crime","Film is set in one winter night in Delhi where a middle class, Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting ...                See full summary��",,
Jeena Hai Toh Thok Daal,"Action, Crime, Drama","Four friends, who have accidentally committed crimes, decide to loot Rs. 20 crore, posing as cops. But on the way, they encounter a real police inspector, who orders them to do an encounter...                See full summary��",,
Chittagong,"Action, Drama, War",The horrid realities of underworld crime as well as the changing times of Bihar state.,,
I Am 24,"Comedy, Romance","School kids organize an armed revolt in the 1930s in British occupied Chittagong. There are casualties on both sides. Later, one of those kids successfully leads the peasants to regain their food-grains earlier commandeered by the British.",,
Fatso!,"Comedy, Fantasy, Romance","Subhendu, a middle-aged writer, falls in love with a much younger woman named Sheela. In order to woo her, he pretends to be a younger man.",,
Mere Dost Picture Abhi Baaki Hai,Comedy,"Killed too soon due to a clerical error in heaven, a man is sent back to earth with a new lease on life, this time in the body of his portly friend.",,
Tutiya Dil,Romance,"Amar Joshi (Sunil Shetty) sells his business in hope to become a film director. After meeting immoral producers and financers, he finds out that his journey won't be so easy.",,
"Bodyguard
(I)","Action, Comedy, Drama","Tutiya Dil (UA) is the story of Rhea Kapoor (Suzanna Mukherjee) who falls in love with her new boss, Karan Oberoi (Nikhil Sabharwal). However, she soon realises that Karan is two-timing her...                See full summary��",,
Ready,"Action, Comedy, Romance",The daughter of a wealthy nobleman secretly falls in love with her bodyguard.,,
Ra.One,"Action, Adventure, Sci-Fi","Set in Thailand and India, a case of mistaken identity leads to love, and a man and his family concoct a grand scheme to win over the hearts of a woman and her greedy, conniving uncles.",,
Don 2,"Action, Crime, Thriller","When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",,
Singham,"Action, Crime, Drama","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.",,
Zindagi Na Milegi Dobara,"Comedy, Drama, Musical",A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak.,,
The Dirty Picture,"Biography, Comedy, Drama",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,,
Rockstar,"Drama, Music, Romance","The love story between an actress and a director, inspired by the life of the late south Indian actress Silk Smitha.",,
Mere Brother Ki Dulhan,"Comedy, Drama, Family","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",,
Yamla Pagla Deewana,"Action, Comedy, Drama",A quirky rom-com where Kush finds the ideal Indian bride Dimple for his brother Luv and a series of comical and unpredictable events follow.,,
